fort_id,name,alternate_names,district,taluka,latitude,longitude,base_village,type,elevation_m,current_condition,era,built_by,year_of_construction,key_events,trek_difficulty,trek_time_hours,best_season,water_availability,accommodation,asi_protected,notes,raw_construction,clean_construction,construction_year_bce,construction_year_ce,construction_century_ce,construction_century_bce,construction_text
1,Aad Fort,[NO_ALT_NAME],Ratnagiri,Dapoli,17.7125,73.2391,Aad,Giri Durg (Hill Fort),250,In Ruins,Maratha Empire,Unknown,Unknown,Minor watchtower fort,Easy,1,Winter,Unknown,Unknown,FALSE,A small  lesser-known fort covered in dense vegetation.,Unknown,unknown,,,unknown,unknown,unknown
2,Achala Fort,[NO_ALT_NAME],Nashik,Satana,20.4578,74.0536,Pimpalgaon,Giri Durg (Hill Fort),1372,In Ruins,Maratha Empire,Shivaji Maharaj,17th Century,Part of Satmala hill range forts; Captured by British in 1818,Medium,2,Winter,Seasonal,Unknown,FALSE,"Twin fort to Ahivantgad, offers great views of the region.",17th Century,17th century,,,17th Century,unknown,unknown
3,Achalpur Fort,Ellichpur Fort,Amravati,Achalpur,21.2612,77.5143,Achalpur,Bhuikot (Land Fort),358,In Ruins,Vatsagulma dynasty; Bahmani Sultanate,Ahmad Shah Bahmani,1425,Capital of Berar Sultanate,Easy,0.5,Winter,Unknown,Unknown,TRUE,"Located inside the city, known for its massive gates and walls.",1425,1425,,1425,15th Century,unknown,unknown
4,Adas Fort,[NO_ALT_NAME],Satara,Khatav,17.6534,74.6543,Adas,Giri Durg (Hill Fort),937,In Ruins,Maratha Empire,Unknown,17th Century,Minor watchtower fort,Easy,1,Post-Monsoon,Unknown,Unknown,FALSE,A small fort primarily used as a watch post.,17th Century,17th century,,,17th Century,unknown,unknown
5,Ahiwantgad,[NO_ALT_NAME],Nashik,Satana,20.4533,74.0494,Pimpalgaon,Giri Durg (Hill Fort),1385,Partially Ruined,Maratha Empire,Shivaji Maharaj,17th Century,Treaty of Purandar; Captured by British,Medium,2,Winter,Year-round in cisterns,Caves,FALSE,"Twin fort to Achala fort, features large caves and water cisterns.",17th Century,17th century,,,17th Century,unknown,unknown
6,Ahmednagar Fort,[NO_ALT_NAME],Ahilyanagar,Ahilyanagar,19.0987,74.7297,Ahilyanagar,Bhuikot (Land Fort),750,Well-Preserved,Nizam Shahi,Malik Ahmed Nizam Shah I,1427,"Imprisonment of Jawaharlal Nehru and other freedom fighters during Quit India Movement, 1942",Easy,1,All Seasons,Not applicable,Unknown,TRUE,One of the best-designed land forts in India; currently under Indian military control.,1427,1427,,1427,15th Century,unknown,unknown
7,Ajinkyatara,[NO_ALT_NAME],Satara,Satara,17.6687,73.9877,Satara,Giri Durg (Hill Fort),1009,Partially Ruined,Shilahara Dynasty; Maratha Empire,Bhoj II,1190,Capital of the Satara state; Captured by British in 1818,Easy,1.5,All Seasons,Bottled water sold,Unknown,TRUE,Overlooks Satara city; accessible by road; popular for morning walks.,1190,1190,,1190,12th Century,unknown,unknown
8,Ajmera,[NO_ALT_NAME],Satara,Koregaon,17.7811,74.1925,Ajmerya,Giri Durg (Hill Fort),1100,In Ruins,Maratha Empire,Unknown,Unknown,Small watchtower fort,Easy,1,Winter,Unknown,Unknown,FALSE,"A lesser-known fort, offers good views of the surrounding region.",Unknown,unknown,,,unknown,unknown,unknown
9,Ajoba,Ajobagad,Pune,Junnar,19.3308,73.6744,Dehene,Giri Durg (Hill Fort),1375,Pinnacle,Unknown,Unknown,Ancient,"Pilgrimage site for Valmiki Rishi; has a ""cradle of Sita"" pinnacle",Hard,4,Winter,Seasonal,Valmiki Ashram; Caves,FALSE,Primarily a pilgrimage trek with some fortifications near the top.,Ancient,ancient,,,unknown,unknown,ancient
10,Akluj Fort,[NO_ALT_NAME],Solapur,Akluj,17.8933,75.0211,Akluj,Bhuikot (Land Fort),518,Well-Preserved,Maratha Empire,Acquired by Sarnobat Pilajirao Mohite-Patil,18th Century,Seat of the Mohite-Patil family,Easy,0.5,Winter,Not applicable,Unknown,FALSE,A residential fort (gadi) still partly occupied by descendants.,18th Century,18th century,,,18th Century,unknown,unknown
11,Akola Fort,Asadgad,Akola,Akola,20.7001,77.0175,Akola,Bhuikot (Land Fort),283,Partially Ruined,Mughal Empire,Asad Khan,1697,Important stronghold in Berar region,Easy,0.5,Winter,Unknown,Unknown,FALSE,Located in the old city area of Akola; features multiple gates.,1697,1697,,1697,17th Century,unknown,unknown
12,Alang Fort,[NO_ALT_NAME],Nashik,Igatpuri,19.5855,73.6651,Kulangwadi,Giri Durg (Hill Fort),1479,In Ruins,Maratha Empire,Unknown,17th-18th Century,Part of the intense Alang-Madan-Kulang trek,Hard,5,Winter,Seasonal in cisterns,Caves,FALSE,Part of the toughest trek in the Sahyadris; requires technical climbing gear.,17th-18th Century,17th-18th century,,,18th Century,unknown,unknown
13,Amalner,[NO_ALT_NAME],Jalgaon,Amalner,21.0425,75.0664,Amalner,Bhuikot (Land Fort),183,In Ruins,Faruqi dynasty,Unknown,15th Century,Local administrative fort (gadi),Easy,0.5,Winter,Unknown,Unknown,FALSE,A land fort in Amalner town  now heavily encroached.,15th Century,15th century,,,15th Century,unknown,unknown
14,Ambagad,[NO_ALT_NAME],Bhandara,Tumsar,21.4395,79.6256,Ambagad,Giri Durg (Hill Fort),457,Partially Ruined,Gond Kingdom,Bakht Buland Shah,18th Century,Controlled by Gonds; later by Bhonsles of Nagpur,Easy,1,Winter,Unknown,Unknown,FALSE,A small fort with scenic views of the surrounding region.,18th Century,18th century,,,18th Century,unknown,unknown
15,Ambolgad,[NO_ALT_NAME],Ratnagiri,Rajapur,16.8042,73.3082,Ambolgad,Jal Durg (Sea Fort),15,In Ruins,Maratha Empire,Shivaji Maharaj,1660,Coastal watch post,Easy,0.5,Winter,Unknown,Unknown,FALSE,A small coastal fort offering splendid views of the Arabian Sea.,1660,1660,,1660,17th Century,unknown,unknown
16,Anghai,Ankai,Nashik,Yeola,20.1917,74.45,Ankai,Giri Durg (Hill Fort),961,Partially Ruined,Yadava Dynasty,Yadavas of Devgiri,12th Century,Controlled trade routes; has Jain and Hindu caves,Medium,1.5,Winter,Seasonal,Caves,TRUE,This is an alternate name for Ankai Fort .,12th Century,12th century,,,12th Century,unknown,unknown
17,Anjaneri Fort,[NO_ALT_NAME],Nashik,Trimbakeshwar,19.9234,73.5714,Anjaneri,Giri Durg (Hill Fort),1280,Partially Ruined,Yadava Dynasty,Unknown,12th Century,Believed to be the birthplace of Lord Hanuman,Easy,2,Monsoon; Winter,Year-round,Anjaneri Mata Temple,FALSE,Features a temple for Anjani Mata; popular pilgrimage and trek spot.,12th Century,12th century,,,12th Century,unknown,unknown
